unicode_,name,script,diacritic,name_meaning,english_name,origin,transliteration,ordering,variants
𓄯,,Egyptian hieroglyphs,0,,F44: bone with meat,,,Gardiner's sign list order: 251,
𓄰,,Egyptian hieroglyphs,0,,F45: uterus,,,Gardiner's sign list order: 252,
𓄲,,Egyptian hieroglyphs,0,,F46: intestine,,,Gardiner's sign list order: 253,
𓄴,,Egyptian hieroglyphs,0,,F47: intestine,,,Gardiner's sign list order: 254,
𓄶,,Egyptian hieroglyphs,0,,F48: intestine,,,Gardiner's sign list order: 255,
𓄷,,Egyptian hieroglyphs,0,,F49: intestine,,,Gardiner's sign list order: 256,
𓄸,,Egyptian hieroglyphs,0,,F50: combination of F46 and S29,𓄲:1;𓋴:1,,Gardiner's sign list order: 257,
𓄹,,Egyptian hieroglyphs,0,,F51: piece of flesh,,,Gardiner's sign list order: 258,
𓄽,,Egyptian hieroglyphs,0,,F52: excrement,,,Gardiner's sign list order: 259,
𓄾,,Egyptian hieroglyphs,0,,F53: divine rod with ram head,,,Gardiner's sign list order: 260,
𓄿,,Egyptian hieroglyphs,0,,G1: Egyptian vulture,,,Gardiner's sign list order: 261,
𓅀,,Egyptian hieroglyphs,0,,G2: two Egyptian vultures,𓄿:1,,Gardiner's sign list order: 262,
𓅁,,Egyptian hieroglyphs,0,,G3: combination of Egyptian vulture and sickle,𓄿:1;𓌳:1,,Gardiner's sign list order: 263,
𓅂,,Egyptian hieroglyphs,0,,G4: buzzard,,,Gardiner's sign list order: 264,
𓅃,,Egyptian hieroglyphs,0,,G5: falcon,,,Gardiner's sign list order: 265,
𓅄,,Egyptian hieroglyphs,0,,G6: combination of falcon and flaggellum,𓅃:1,,Gardiner's sign list order: 266,
